Date : 2020-06-02 20:40:28
Directory : c:\React\ifitfedchallenge
Total : 58 files,  16052 codes, 70 comments, 217 blanks, all 16339 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\React\ifitfedchallenge\src\App.test.js                                                               | JavaScript |          8 |          0 |          2 |         10 |
| c:\React\ifitfedchallenge\src\assets\facebook.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\React\ifitfedchallenge\src\assets\gear-junkie-logo.svg                                               | XML        |          9 |          0 |          1 |         10 |
| c:\React\ifitfedchallenge\src\assets\ifit-coach-logo.svg                                                | XML        |         29 |          0 |          1 |         30 |
| c:\React\ifitfedchallenge\src\assets\instagram.svg                                                      | XML        |          1 |          0 |          0 |          1 |
| c:\React\ifitfedchallenge\src\assets\mashable-logo.svg                                                  | XML        |         67 |          0 |          1 |         68 |
| c:\React\ifitfedchallenge\src\assets\pinterest.svg                                                      | XML        |          1 |          0 |          0 |          1 |
| c:\React\ifitfedchallenge\src\assets\twitter.svg                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\React\ifitfedchallenge\src\assets\wired-logo.svg                                                     | XML        |         13 |          0 |          1 |         14 |
| c:\React\ifitfedchallenge\src\assets\youtube.svg                                                        | XML        |          2 |          0 |          0 |          2 |
| c:\React\ifitfedchallenge\src\components\Carousel\Carousel.js                                           | JavaScript |         64 |          0 |         15 |         79 |
| c:\React\ifitfedchallenge\src\components\Carousel\Carousel.module.scss                                  | SCSS       |         19 |          0 |          3 |         22 |
| c:\React\ifitfedchallenge\src\components\Carousel\CarouselItem\CarouselItem.js                          | JavaScript |         11 |          0 |          3 |         14 |
| c:\React\ifitfedchallenge\src\components\Carousel\CarouselItem\CarouselItem.module.scss                 | SCSS       |         16 |          1 |          2 |         19 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\CoursePanel.js                                     | JavaScript |         75 |          0 |          5 |         80 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\CoursePanel.module.scss                            | SCSS       |          8 |          0 |          0 |          8 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\Course.js                                   | JavaScript |         50 |          0 |         10 |         60 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\Course.module.scss                          | SCSS       |         49 |          0 |          7 |         56 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\CourseIconLabel\CourseIconLabel.js          | JavaScript |         11 |          0 |          3 |         14 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\CourseIconLabel\CourseIconLabel.module.scss | SCSS       |         19 |          0 |          1 |         20 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\CourseImage\CourseImage.js                  | JavaScript |         10 |          0 |          3 |         13 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\CourseImage\CourseImage.module.scss         | SCSS       |          4 |          0 |          0 |          4 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\CourseOverlay\CourseOverlay.js              | JavaScript |         13 |          0 |          3 |         16 |
| c:\React\ifitfedchallenge\src\components\CoursePanel\Course\CourseOverlay\CourseOverlay.module.scss     | SCSS       |         40 |          2 |          4 |         46 |
| c:\React\ifitfedchallenge\src\components\EquipmentPanel\EquipmentCard\EquipmentCard.js                  | JavaScript |         11 |          0 |          3 |         14 |
| c:\React\ifitfedchallenge\src\components\EquipmentPanel\EquipmentCard\EquipmentCard.module.scss         | SCSS       |         29 |          0 |          3 |         32 |
| c:\React\ifitfedchallenge\src\components\EquipmentPanel\EquipmentPanel.js                               | JavaScript |         21 |          0 |          3 |         24 |
| c:\React\ifitfedchallenge\src\components\EquipmentPanel\EquipmentPanel.module.scss                      | SCSS       |         20 |          0 |          2 |         22 |
| c:\React\ifitfedchallenge\src\components\Footer\Footer.js                                               | JavaScript |         52 |          0 |          3 |         55 |
| c:\React\ifitfedchallenge\src\components\Footer\Footer.module.scss                                      | SCSS       |        105 |          1 |         14 |        120 |
| c:\React\ifitfedchallenge\src\components\Footer\SocialMedia\SocialMedia.js                              | JavaScript |         12 |          0 |          3 |         15 |
| c:\React\ifitfedchallenge\src\components\Footer\SocialMedia\SocialMedia.module.scss                     | SCSS       |         23 |          0 |          1 |         24 |
| c:\React\ifitfedchallenge\src\components\Layout\Layout.js                                               | JavaScript |         23 |          0 |          2 |         25 |
| c:\React\ifitfedchallenge\src\components\Layout\Layout.module.scss                                      | SCSS       |          0 |          0 |          1 |          1 |
| c:\React\ifitfedchallenge\src\components\MainImage\MainImage.js                                         | JavaScript |         18 |          0 |          3 |         21 |
| c:\React\ifitfedchallenge\src\components\MainImage\MainImage.module.scss                                | SCSS       |        116 |          4 |         18 |        138 |
| c:\React\ifitfedchallenge\src\components\Menu\Menu.js                                                   | JavaScript |         21 |          0 |          3 |         24 |
| c:\React\ifitfedchallenge\src\components\Menu\Menu.module.scss                                          | SCSS       |         43 |          1 |          7 |         51 |
| c:\React\ifitfedchallenge\src\components\Menu\MenuItem\MenuItem.js                                      | JavaScript |         10 |          0 |          3 |         13 |
| c:\React\ifitfedchallenge\src\components\Menu\MenuItem\MenuItem.module.scss                             | SCSS       |         24 |          0 |          3 |         27 |
| c:\React\ifitfedchallenge\src\components\Navigation\Navigation.js                                       | JavaScript |         17 |          0 |          4 |         21 |
| c:\React\ifitfedchallenge\src\components\Navigation\Navigation.module.scss                              | SCSS       |         15 |          0 |          3 |         18 |
| c:\React\ifitfedchallenge\src\components\Navigation\NavigationButton\NavigationButton.js                | JavaScript |         10 |          0 |          3 |         13 |
| c:\React\ifitfedchallenge\src\components\Navigation\NavigationButton\NavigationButton.module.scss       | SCSS       |         20 |          0 |          1 |         21 |
| c:\React\ifitfedchallenge\src\components\UI\OvalButton\OvalButton.js                                    | JavaScript |         18 |          0 |          3 |         21 |
| c:\React\ifitfedchallenge\src\components\UI\OvalButton\OvalButton.module.scss                           | SCSS       |         30 |          0 |          4 |         34 |
| c:\React\ifitfedchallenge\src\containers\Home\Home.js                                                   | JavaScript |         12 |          0 |          3 |         15 |
| c:\React\ifitfedchallenge\src\containers\Home\Home.module.scss                                          | SCSS       |          0 |          0 |          1 |          1 |
| c:\React\ifitfedchallenge\src\index.css                                                                 | CSS        |         12 |          0 |          2 |         14 |
| c:\React\ifitfedchallenge\src\index.js                                                                  | JavaScript |         12 |          3 |          3 |         18 |
| c:\React\ifitfedchallenge\src\serviceWorker.js                                                          | JavaScript |         98 |         31 |         13 |        142 |
| c:\React\ifitfedchallenge\src\setupTests.js                                                             | JavaScript |          1 |          4 |          1 |          6 |
| Total                                                                                                   |            |     16,052 |         70 |        217 |     16,339 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
